,budget,popularity,runtime,revenue,revenue_M,budget_M,belongs_to_collection_size,cast_size,crew_size,flg_homepage,flg_belongs_to_collection_size,genres_Adventure,actors_Tyrese Gibson,movie_Director_Peter Jackson
40,0,2.941626,118.0,163000,0.16,0.0,1,6.0,1.0,1,1,0,0,0
41,3000000,9.718713000000001,126.0,16217773,16.22,3.0,0,32.0,28.0,0,0,0,0,0
42,25000000,2.9719990000000003,108.0,24362772,24.36,25.0,0,11.0,12.0,0,0,0,0,0
43,6000000,9.383088,92.0,1020921,1.02,6.0,0,32.0,12.0,0,0,0,0,0
44,15000000,5.615303,88.0,47175038,47.18,15.0,0,10.0,12.0,1,0,0,0,0
45,3906840,2.382068,95.0,4300000,4.3,3.91,0,15.0,7.0,0,0,0,0,0
46,80000000,16.646029000000002,91.0,660940780,660.94,80.0,1,42.0,10.0,1,1,1,0,0
47,44000000,20.328822,167.0,155760117,155.76,44.0,0,18.0,77.0,1,0,0,0,0
48,0,8.984386,94.0,653951,0.65,0.0,0,44.0,31.0,0,0,0,0,0
49,38000000,8.105708,118.0,120000000,120.0,38.0,1,17.0,15.0,0,1,1,0,0
50,560000,1.572904,102.0,1500000,1.5,0.56,0,9.0,2.0,1,0,0,0,0
51,12000000,4.473326999999999,160.0,25333333,25.33,12.0,0,17.0,6.0,0,0,1,0,0
52,0,1.012665,97.0,11000000,11.0,0.0,0,13.0,7.0,0,0,1,0,0
53,0,5.410839,98.0,17514553,17.51,0.0,0,9.0,4.0,1,0,0,0,0
54,20000000,8.759801,107.0,46069568,46.07,20.0,0,30.0,21.0,0,0,0,0,0
55,0,9.122717999999999,95.0,36448200,36.45,0.0,0,9.0,3.0,0,0,0,0,0
56,0,2.94798,97.0,1056938,1.06,0.0,0,9.0,3.0,1,0,0,0,0
57,125000000,17.038823999999998,125.0,238207122,238.21,125.0,1,14.0,105.0,0,1,0,0,0
58,0,1.8824459999999998,95.0,119563,0.12,0.0,0,5.0,1.0,1,0,0,0,0
59,14000000,3.909079,95.0,25482931,25.48,14.0,0,7.0,1.0,0,0,1,0,0
60,150000000,23.065078,144.0,599045960,599.05,150.0,1,79.0,126.0,1,1,1,0,0
61,4000000,1.8010709999999999,105.0,14400000,14.4,4.0,0,15.0,9.0,0,0,0,0,0
62,0,6.3816120000000005,124.0,25232289,25.23,0.0,0,10.0,48.0,0,0,0,0,0
63,5000000,7.743144,100.0,14000000,14.0,5.0,1,16.0,7.0,0,1,0,0,0
64,12000000,11.160699000000001,115.0,17654912,17.65,12.0,0,14.0,69.0,0,0,1,0,0
65,1500000,8.822275999999999,92.0,11806119,11.81,1.5,1,9.0,12.0,0,1,0,0,0
66,12000000,5.145185,108.0,204940,0.2,12.0,0,16.0,12.0,0,0,0,0,0
67,0,6.303552,133.0,154120,0.15,0.0,0,7.0,5.0,0,0,0,0,0
68,2000000,14.284787,129.0,13129846,13.13,2.0,0,56.0,34.0,0,0,0,0,0
69,85000000,2.238808,104.0,158468292,158.47,85.0,1,56.0,57.0,1,1,0,0,0
70,29000000,12.092096000000002,103.0,21126225,21.13,29.0,0,22.0,20.0,0,0,0,0,0
71,0,7.667491,126.0,16756372,16.76,0.0,0,13.0,11.0,1,0,0,0,0
72,11000000,8.290384,85.0,8266343,8.27,11.0,0,15.0,7.0,0,0,0,0,0
73,0,0.9195559999999999,90.0,17393,0.02,0.0,0,6.0,5.0,1,0,0,0,0
74,445000,2.482536,84.0,2300000,2.3,0.44,0,16.0,12.0,0,0,0,0,0
75,17000000,9.665251,106.0,24922237,24.92,17.0,1,16.0,10.0,1,1,0,0,0
76,500000,0.660663,157.0,500000,0.5,0.5,0,11.0,7.0,0,0,0,0,0
77,6000000,10.451986,98.0,39846344,39.85,6.0,1,55.0,9.0,0,1,0,0,0
78,0,2.6333990000000003,122.0,35610100,35.61,0.0,0,15.0,13.0,0,0,0,0,0
79,1500000,6.636625,102.0,779820,0.78,1.5,0,31.0,80.0,1,0,0,0,0
80,15000000,4.9840800000000005,118.0,9237470,9.24,15.0,0,17.0,22.0,0,0,0,0,0
81,10284523,4.3490459999999995,104.0,11588205,11.59,10.28,0,11.0,12.0,0,0,0,0,0
82,43000000,10.947957,104.0,91974818,91.97,43.0,0,20.0,99.0,0,0,0,0,0
83,28000000,7.482864999999999,116.0,40400657,40.4,28.0,1,18.0,32.0,0,1,0,0,0
84,2000000,10.239941,85.0,13101672,13.1,2.0,0,6.0,7.0,0,0,0,0,0
85,50000000,7.260574,109.0,152022101,152.02,50.0,0,21.0,9.0,0,0,1,0,0
86,8000000,9.741644,105.0,106260000,106.26,8.0,0,19.0,33.0,0,0,0,0,0
87,7500000,12.314278,91.0,32392047,32.39,7.5,0,9.0,4.0,0,0,0,0,0
88,20000000,13.655178,126.0,13162475,13.16,20.0,0,41.0,21.0,1,0,0,0,0
89,30000000,4.359884,109.0,140081992,140.08,30.0,0,13.0,20.0,0,0,0,0,0
90,30000000,25.261865,111.0,180949000,180.95,30.0,1,36.0,161.0,1,1,0,0,0
91,0,3.83196,106.0,215339,0.22,0.0,0,18.0,3.0,0,0,0,0,0
92,35000000,1.690768,135.0,15000000,15.0,35.0,0,29.0,9.0,0,0,1,0,0
93,0,14.322814000000001,96.0,2724474,2.72,0.0,0,12.0,5.0,0,0,0,0,0
94,15000000,18.184055999999998,147.0,20117339,20.12,15.0,0,71.0,17.0,0,0,0,0,0
95,0,0.181963,72.0,14353,0.01,0.0,0,9.0,3.0,0,0,0,0,0
96,2500000,2.942355,98.0,3358,0.0,2.5,0,9.0,10.0,0,0,0,0,0
97,0,1.0421120000000001,158.0,73000,0.07,0.0,0,6.0,10.0,0,0,0,0,0
98,10500000,11.003515,90.0,23000000,23.0,10.5,0,8.0,15.0,0,0,1,0,0
99,6000000,5.529808,120.0,46616067,46.62,6.0,0,11.0,8.0,0,0,0,0,0
100,7000000,7.958502,91.0,9229401,9.23,7.0,0,14.0,47.0,0,0,0,0,0
101,60000000,11.93646,135.0,313542341,313.54,60.0,0,38.0,60.0,1,0,0,0,0
102,0,1.066558,102.0,14961069,14.96,0.0,0,7.0,5.0,0,0,0,0,0
103,0,2.401289,121.0,5310554,5.31,0.0,0,20.0,11.0,0,0,0,0,0
104,0,1.590383,117.0,149521495,149.52,0.0,1,16.0,11.0,0,1,0,0,0
105,10900000,13.454169,105.0,16505460,16.51,10.9,0,14.0,40.0,0,0,0,0,0
106,31000000,6.523155,105.0,15134293,15.13,31.0,0,25.0,16.0,1,0,0,0,0
107,72000000,20.755149,177.0,210000000,210.0,72.0,0,55.0,67.0,0,0,0,0,0
108,14000000,3.873796,97.0,18535191,18.54,14.0,0,6.0,3.0,0,0,0,0,0
109,15000000,3.210693,189.0,34562222,34.56,15.0,0,18.0,13.0,0,0,1,0,0
110,75000000,13.136791,123.0,67631903,67.63,75.0,0,10.0,104.0,0,0,0,0,0
111,35000000,5.093704,111.0,22034832,22.03,35.0,0,20.0,25.0,0,0,0,0,0
112,100000000,11.696923,122.0,93820758,93.82,100.0,0,26.0,110.0,1,0,1,0,0
113,20000000,4.619593,106.0,51684798,51.68,20.0,0,13.0,13.0,0,0,0,0,0
114,93000000,32.070725,178.0,871368364,871.37,93.0,1,26.0,30.0,1,1,1,0,1
115,25000000,5.00725,86.0,41604473,41.6,25.0,0,11.0,13.0,0,0,0,0,0
116,0,1.6780130000000002,145.0,311,0.0,0.0,0,17.0,18.0,0,0,0,0,0
117,60000000,11.356011,100.0,253625427,253.63,60.0,0,17.0,12.0,1,0,1,0,0
118,0,4.304224,107.0,1796389,1.8,0.0,0,20.0,16.0,0,0,0,0,0
119,12716953,6.183021,113.0,18814720,18.81,12.72,0,15.0,10.0,0,0,0,0,0
120,90000000,8.345985,90.0,347325802,347.33,90.0,1,16.0,10.0,0,1,0,0,0
121,150000000,12.453452,88.0,448000000,448.0,150.0,1,11.0,27.0,1,1,1,0,0
122,1500000,1.9612080000000003,94.0,5585154,5.59,1.5,0,51.0,119.0,0,0,0,0,0
123,25000000,8.369176,115.0,91036760,91.04,25.0,0,15.0,7.0,0,0,0,0,0
124,7500000,16.376657,95.0,60722734,60.72,7.5,0,23.0,35.0,1,0,0,0,0
125,40000000,14.622492999999999,125.0,7400000,7.4,40.0,0,4.0,2.0,1,0,0,0,0
126,0,5.695908,105.0,15500000,15.5,0.0,0,17.0,2.0,0,0,1,0,0
127,10000000,7.886926,111.0,12008642,12.01,10.0,0,16.0,59.0,0,0,0,0,0
128,18000000,9.929808999999999,100.0,46201432,46.2,18.0,0,11.0,21.0,1,0,0,0,0
129,2400000,5.2306610000000004,120.0,5731103,5.73,2.4,0,18.0,2.0,0,0,0,0,0
130,4000000,10.130541000000001,90.0,9800000,9.8,4.0,0,23.0,13.0,1,0,0,0,0
131,6000000,8.278079,93.0,5206,0.01,6.0,0,22.0,2.0,0,0,0,0,0
132,0,1.079975,97.0,2452566,2.45,0.0,0,4.0,1.0,0,0,0,0,0
133,65000000,11.73956,95.0,211780824,211.78,65.0,0,18.0,57.0,1,0,0,0,0
134,10000000,11.840494999999999,100.0,33000000,33.0,10.0,0,30.0,8.0,1,0,0,0,0
135,2000000,1.372493,90.0,300000,0.3,2.0,0,9.0,19.0,0,0,1,0,0
136,0,2.490032,92.0,120680,0.12,0.0,1,17.0,3.0,1,1,0,0,0
137,9000000,8.888278,79.0,4350774,4.35,9.0,0,36.0,14.0,0,0,0,0,0
138,0,10.245682,93.0,3065860,3.07,0.0,0,9.0,45.0,1,0,0,0,0
139,110000000,0.9130959999999999,133.0,407711549,407.71,110.0,1,31.0,28.0,0,1,1,0,0
140,14320000,0.5853970000000001,176.0,14000000,14.0,14.32,0,13.0,10.0,0,0,0,0,0
141,0,7.008512,101.0,31466789,31.47,0.0,0,13.0,13.0,0,0,0,0,0
142,3500000,5.353826000000001,108.0,615816,0.62,3.5,0,15.0,4.0,1,0,0,0,0
143,18000000,6.675032000000001,98.0,382174,0.38,18.0,0,23.0,5.0,1,0,0,0,0
144,4000000,6.216637,108.0,11000000,11.0,4.0,0,13.0,22.0,0,0,0,0,0
145,0,3.8058110000000003,88.0,9188,0.01,0.0,0,20.0,52.0,1,0,0,0,0
146,0,10.278957,90.0,19510371,19.51,0.0,1,13.0,6.0,0,1,0,0,0
147,39200000,14.131905999999999,126.0,86758912,86.76,39.2,0,45.0,62.0,1,0,0,0,0
148,18000000,9.322716999999999,87.0,147214049,147.21,18.0,1,15.0,11.0,0,1,0,0,0
149,25000000,5.405958,113.0,432274,0.43,25.0,0,9.0,54.0,0,0,1,0,0
150,0,1.178642,108.0,18,0.0,0.0,0,13.0,18.0,0,0,1,0,0
151,0,1.279443,100.0,16905,0.02,0.0,0,1.0,7.0,0,0,0,0,0
152,0,3.520171,92.0,241,0.0,0.0,0,5.0,8.0,0,0,0,0,0
153,4000000,10.200398,91.0,52425855,52.43,4.0,0,19.0,37.0,1,0,0,0,0
154,0,2.6204560000000003,90.0,5091888,5.09,0.0,0,15.0,10.0,0,0,0,0,0
155,20000000,8.759774,72.0,109862682,109.86,20.0,1,12.0,9.0,0,1,1,0,0
156,3500000,0.768181,126.0,8262833,8.26,3.5,1,8.0,1.0,0,1,0,0,0
157,0,0.56257,94.0,447784,0.45,0.0,0,18.0,42.0,0,0,1,0,0
158,63600000,6.047757,102.0,19412993,19.41,63.6,0,15.0,10.0,0,0,0,0,0
159,32000000,7.54701,107.0,18552460,18.55,32.0,0,16.0,10.0,0,0,0,0,0
160,3500000,4.456904,98.0,113783,0.11,3.5,0,15.0,2.0,0,0,0,0,0
161,0,1.319188,88.0,12277096,12.28,0.0,0,7.0,3.0,0,0,0,0,0
162,125000,10.850569,90.0,3200000,3.2,0.12,0,6.0,8.0,1,0,0,0,0
163,9000000,5.997054,93.0,17096053,17.1,9.0,0,13.0,9.0,0,0,0,0,0
164,40000000,9.825841,99.0,62771059,62.77,40.0,0,15.0,17.0,1,0,0,0,0
165,0,0.836108,90.0,25000,0.02,0.0,0,5.0,4.0,0,0,0,0,0
166,0,8.802715,87.0,1723872,1.72,0.0,1,2.0,14.0,0,1,0,0,0
167,19000000,10.966014999999999,122.0,144216468,144.22,19.0,0,20.0,62.0,0,0,0,0,0
168,5000000,6.501176999999999,113.0,41833347,41.83,5.0,1,23.0,20.0,0,1,0,0,0
169,2000000,11.189831,95.0,24600832,24.6,2.0,1,18.0,13.0,0,1,1,0,0
170,0,9.021668,87.0,55600000,55.6,0.0,1,13.0,8.0,0,1,0,0,0
171,0,5.524866,102.0,2585639,2.59,0.0,0,6.0,3.0,0,0,0,0,0
172,3500000,8.55931,121.0,12000000,12.0,3.5,1,15.0,14.0,0,1,0,0,0
173,11000000,8.929393,98.0,2807854,2.81,11.0,1,15.0,14.0,0,1,1,0,0
174,12468389,6.116093,97.0,29007412,29.01,12.47,1,15.0,3.0,0,1,0,0,0
175,38000000,1.406181,106.0,207283925,207.28,38.0,1,30.0,141.0,0,1,0,0,0
176,90000000,5.496624,91.0,14828081,14.83,90.0,0,12.0,59.0,0,0,0,0,0
177,0,0.060645000000000004,74.0,532654,0.53,0.0,0,11.0,15.0,0,0,0,0,0
178,15000000,14.778884,93.0,125212904,125.21,15.0,1,23.0,59.0,0,1,1,0,0
179,32000000,11.137888,133.0,156167015,156.17,32.0,1,24.0,19.0,1,1,1,0,0
180,30000000,5.844016000000001,130.0,31148328,31.15,30.0,0,18.0,19.0,1,0,0,0,0
181,0,5.725912,119.0,20957001,20.96,0.0,0,9.0,6.0,0,0,0,0,0
182,0,10.313689,104.0,21830957,21.83,0.0,0,15.0,11.0,0,0,0,0,0
183,6000000,9.534232000000001,141.0,17555141,17.56,6.0,0,26.0,9.0,1,0,1,0,0
184,82500000,9.796552,107.0,237681299,237.68,82.5,0,24.0,15.0,0,0,0,0,0
185,14000000,1.36737,93.0,161001698,161.0,14.0,0,15.0,3.0,0,0,0,0,0
186,5000000,3.172765,95.0,3833507,3.83,5.0,1,12.0,7.0,0,1,0,0,0
187,259000,0.722511,65.0,921000,0.92,0.26,0,11.0,8.0,0,0,0,0,0
188,180000000,16.088366,98.0,521311860,521.31,180.0,0,32.0,52.0,1,0,0,0,0
189,0,12.017861,111.0,16337881,16.34,0.0,0,15.0,6.0,0,0,0,0,0
190,4000000,5.263187,86.0,16675000,16.68,4.0,1,18.0,22.0,0,1,0,0,0
191,40000000,7.271503,110.0,79700000,79.7,40.0,0,30.0,19.0,1,0,0,0,0
192,0,6.395748,91.0,37915971,37.92,0.0,0,61.0,43.0,0,0,0,0,0
193,0,13.762328,90.0,13168027,13.17,0.0,1,15.0,11.0,0,1,0,0,0
194,4500000,3.3113919999999997,97.0,744816,0.74,4.5,0,12.0,5.0,1,0,0,0,0
195,0,1.1656790000000001,96.0,115605,0.12,0.0,0,9.0,3.0,0,0,0,0,0
196,7000000,0.8614729999999999,87.0,136203,0.14,7.0,0,8.0,3.0,0,0,0,0,0
197,60000000,12.915358,108.0,77920346,77.92,60.0,0,15.0,25.0,0,0,0,0,0
198,24000000,3.6929800000000004,107.0,12372410,12.37,24.0,0,47.0,10.0,1,0,0,0,0
199,12600000,11.695036,106.0,19054534,19.05,12.6,0,22.0,49.0,0,0,0,0,0
200,85000000,10.254314,97.0,144000000,144.0,85.0,0,45.0,26.0,0,0,0,0,0
201,10000000,11.509677,100.0,3916303,3.92,10.0,0,21.0,13.0,0,0,0,0,0
202,55000000,7.7132309999999995,91.0,110000000,110.0,55.0,0,17.0,13.0,0,0,0,0,0
203,75000000,14.302910999999998,87.0,527068851,527.07,75.0,0,21.0,66.0,1,0,0,0,0
204,3200000,6.1746989999999995,94.0,10000000,10.0,3.2,0,6.0,1.0,0,0,0,0,0
205,2000000,5.396271,97.0,2801508,2.8,2.0,0,23.0,48.0,0,0,0,0,0
206,0,3.14325,105.0,1543112,1.54,0.0,0,15.0,16.0,0,0,0,0,0
207,15000000,7.024227000000001,92.0,66000000,66.0,15.0,1,12.0,15.0,1,1,1,0,0
208,0,8.096719,96.0,4352094,4.35,0.0,0,11.0,14.0,0,0,0,0,0
209,100000000,8.140709,136.0,108103450,108.1,100.0,0,16.0,123.0,0,0,1,0,0
210,22000000,7.145784,105.0,26570463,26.57,22.0,0,21.0,12.0,0,0,0,0,0
211,7000000,19.726114000000003,124.0,470654000,470.65,7.0,1,29.0,28.0,1,1,1,0,0
212,0,2.011108,95.0,3418141,3.42,0.0,0,7.0,2.0,0,0,0,0,0
213,6700000,1.312833,143.0,31000000,31.0,6.7,0,20.0,22.0,0,0,0,0,0
214,20000000,13.132126999999999,105.0,1969193,1.97,20.0,0,40.0,9.0,0,0,0,0,0
215,35000000,7.321172,111.0,173965010,173.97,35.0,0,38.0,37.0,1,0,0,0,0
216,35000000,6.493765,90.0,83061158,83.06,35.0,1,24.0,5.0,1,1,0,0,0
217,10000000,11.341505,106.0,85300000,85.3,10.0,0,16.0,11.0,0,0,0,0,0
218,0,2.972928,107.0,5010362,5.01,0.0,1,16.0,7.0,0,1,0,0,0
219,2600000,2.203949,105.0,3166000,3.17,2.6,0,14.0,8.0,1,0,0,0,0
220,12000000,7.2161029999999995,132.0,10652498,10.65,12.0,0,5.0,12.0,1,0,0,0,0
221,0,8.358541,97.0,754935,0.75,0.0,0,5.0,6.0,0,0,0,0,0
222,5000000,1.608163,98.0,31649,0.03,5.0,0,5.0,16.0,1,0,0,0,0
223,49000000,16.628427,127.0,352927224,352.93,49.0,1,35.0,20.0,1,1,0,0,0
224,0,0.410738,53.0,500,0.0,0.0,0,1.0,2.0,1,0,0,0,0
225,0,11.478361,110.0,6585516,6.59,0.0,0,30.0,19.0,0,0,1,0,0
226,50000000,7.668829,105.0,28931401,28.93,50.0,0,51.0,70.0,1,0,0,0,0
227,7500000,8.593196,100.0,26096852,26.1,7.5,0,29.0,7.0,1,0,0,0,0
228,6244087,11.722424,145.0,638641,0.64,6.24,0,44.0,34.0,0,0,1,0,0
229,14000000,1.596058,139.0,2474000,2.47,14.0,0,14.0,4.0,0,0,0,0,0
230,110000000,7.8250720000000005,120.0,72178895,72.18,110.0,0,26.0,135.0,0,0,1,0,0
231,800000,0.941994,114.0,1001437,1.0,0.8,0,9.0,13.0,0,0,0,0,0
232,0,3.7413300000000005,93.0,2225098,2.23,0.0,0,13.0,18.0,0,0,0,0,0
233,0,0.492745,101.0,206728,0.21,0.0,0,0.0,3.0,0,0,0,0,0
234,30000000,21.791110999999997,140.0,8574339,8.57,30.0,0,34.0,82.0,1,0,1,0,0
235,0,6.183051,94.0,27297451,27.3,0.0,0,16.0,16.0,1,0,1,0,0
236,15000000,3.4504019999999995,87.0,5600000,5.6,15.0,1,13.0,30.0,0,1,0,0,0
237,0,0.619347,95.0,1622164,1.62,0.0,1,31.0,16.0,0,1,0,0,0
238,22000000,11.945397,127.0,505000000,505.0,22.0,0,14.0,61.0,0,0,0,0,0
239,20000000,5.270187,118.0,57588485,57.59,20.0,0,15.0,9.0,0,0,0,0,0
240,0,2.592927,102.0,5790448,5.79,0.0,0,7.0,17.0,0,0,0,0,0
241,70000000,6.660309,88.0,18662027,18.66,70.0,0,12.0,29.0,1,0,0,0,0
242,0,12.653798,114.0,80768,0.08,0.0,0,6.0,12.0,1,0,0,0,0
243,0,8.416802,103.0,17519169,17.52,0.0,0,10.0,17.0,0,0,0,0,0
244,0,2.7384209999999998,96.0,43885000,43.88,0.0,0,32.0,14.0,0,0,0,0,0
245,19000000,9.106146,109.0,18755936,18.76,19.0,0,11.0,33.0,1,0,1,0,0
246,23000000,14.134879999999999,101.0,351583407,351.58,23.0,1,16.0,14.0,0,1,0,0,0
247,18339750,7.692239999999999,156.0,92180910,92.18,18.34,0,62.0,59.0,1,0,0,0,0
248,102000000,9.646208,99.0,147080413,147.08,102.0,0,53.0,10.0,0,0,0,0,0
249,7920000,11.162277,140.0,14560084,14.56,7.92,0,18.0,14.0,0,0,0,0,0
250,12560000,4.0529910000000005,105.0,42700000,42.7,12.56,1,53.0,6.0,0,1,0,0,0
251,98000000,7.284477000000001,119.0,10017322,10.02,98.0,0,31.0,16.0,0,0,1,0,0
252,8500000,6.57613,104.0,5001655,5.0,8.5,0,10.0,94.0,0,0,0,0,0
253,0,0.241287,95.0,30292,0.03,0.0,0,1.0,3.0,0,0,0,0,0
254,11178,0.079287,104.0,34659,0.03,0.01,0,9.0,6.0,0,0,0,0,0
255,9500000,5.8471660000000005,88.0,7800000,7.8,9.5,0,11.0,2.0,0,0,0,0,0
256,55000000,10.758754,121.0,203427584,203.43,55.0,0,36.0,113.0,1,0,1,0,0
257,1000000,1.1575819999999999,89.0,9000000,9.0,1.0,0,14.0,17.0,0,0,0,0,0
258,0,10.686166,83.0,2287714,2.29,0.0,1,22.0,31.0,0,1,0,0,0
259,24554,0.154526,95.0,140021,0.14,0.02,0,4.0,1.0,0,0,0,0,0
260,0,0.871303,99.0,187349,0.19,0.0,0,22.0,13.0,0,0,0,0,0
261,50000000,11.511424,99.0,87528173,87.53,50.0,0,23.0,7.0,0,0,0,0,0
262,0,6.972722999999999,133.0,17636261,17.64,0.0,0,12.0,19.0,1,0,0,0,0
263,10000000,2.8497790000000003,99.0,14000,0.01,10.0,0,17.0,15.0,1,0,0,0,0
264,0,2.7994470000000002,108.0,143597,0.14,0.0,0,30.0,30.0,1,0,0,0,0
265,15000000,10.271871,135.0,13060843,13.06,15.0,0,18.0,27.0,0,0,0,0,0
266,15000000,15.423538,148.0,56255142,56.26,15.0,0,25.0,50.0,1,0,1,0,0
267,27000,10.513367,92.0,3151130,3.15,0.03,1,15.0,7.0,1,1,0,0,0
268,40000000,8.778999,93.0,23937870,23.94,40.0,0,20.0,21.0,0,0,1,0,0
269,0,0.49887700000000007,119.0,20,0.0,0.0,0,6.0,2.0,1,0,0,0,0
270,21000000,8.425361,99.0,72417394,72.42,21.0,1,19.0,4.0,1,1,0,0,0
271,72500000,6.936688,116.0,162966177,162.97,72.5,0,24.0,14.0,1,0,0,0,0
272,12000000,5.845712000000001,94.0,46044400,46.04,12.0,0,23.0,9.0,0,0,0,0,0
273,50000000,12.285544999999999,87.0,83761844,83.76,50.0,0,18.0,19.0,1,0,0,0,0
274,65000000,10.237996,119.0,250821495,250.82,65.0,0,16.0,32.0,1,0,0,0,0
275,0,8.469808,127.0,602042,0.6,0.0,0,27.0,12.0,0,0,0,0,0
276,2915739,0.558002,132.0,14000000,14.0,2.92,0,6.0,8.0,0,0,0,0,0
277,70000000,18.324219,98.0,164000000,164.0,70.0,0,62.0,33.0,0,0,1,0,0
278,0,2.523707,102.0,23020,0.02,0.0,0,18.0,7.0,0,0,0,0,0
279,65000000,13.455112,120.0,217764291,217.76,65.0,0,20.0,142.0,0,0,0,0,0
280,0,2.584025,91.0,10,0.0,0.0,1,12.0,48.0,0,1,0,0,0
281,30000000,14.811957999999999,95.0,66486080,66.49,30.0,0,48.0,79.0,1,0,0,0,0
282,12000000,1.575026,100.0,12902790,12.9,12.0,0,8.0,11.0,0,0,0,0,0
283,19000000,4.249948000000001,130.0,23550000,23.55,19.0,0,22.0,8.0,0,0,0,0,0
284,7000000,7.452789999999999,109.0,48126384,48.13,7.0,0,28.0,65.0,0,0,0,0,0
285,25000000,3.596317,95.0,1614266,1.61,25.0,0,10.0,27.0,0,0,1,0,0
286,9000000,28.920839,117.0,276921998,276.92,9.0,0,46.0,82.0,1,0,0,0,0
287,0,4.322726,113.0,6841570,6.84,0.0,0,29.0,17.0,0,0,0,0,0
288,24000000,11.269558,110.0,23510601,23.51,24.0,0,8.0,24.0,0,0,0,0,0
289,28000000,13.856198999999998,87.0,11373501,11.37,28.0,0,16.0,14.0,0,0,0,0,0
290,6000000,8.990345,117.0,254700832,254.7,6.0,0,29.0,13.0,1,0,0,0,0
291,16000000,12.153493,99.0,5367030,5.37,16.0,0,36.0,15.0,1,0,0,0,0
